Comment,Designator,Footprint,JLCPCB Part #
BS-08-B2AA001,BT1,BS-08-B2AA001,C964777
C10u,C1,Capacitor_SMD:C_0402_1005Metric, C15525
C100n,"C2,C3,C4,C5,C6,C12,C13,C15,C16",Capacitor_SMD:C_0402_1005Metric,C60474
C1n,C7,Capacitor_SMD:C_0402_1005Metric,C106205
C330n,"C8,C9",Capacitor_SMD:C_0402_1005Metric,C107013
C1n5,C10,Capacitor_SMD:C_0402_1005Metric,C107022
C10n,C11,Capacitor_SMD:C_0402_1005Metric,C60133
C330u,"C14,C17",Capacitor_SMD:CP_Elec_6.3x7.7,C7461238
BAT54C-7-F,D1,Package_TO_SOT_SMD:SOT-23,C556168
MBRS130LT3G,D2,Diode_SMD:D_SMB,C51771
Conn_02x03_Odd_Even,J1,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,C192301
Conn_01x04_Pin,"J2,J5",Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left,C2883763
Conn_01x03_Socket,J4,Connector_Molex:Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,C503478
Jack-DC,J6,Connector_BarrelJack:BarrelJack_Horizontal,C16214
L150u,L1,Inductor_SMD:L_Changjiang_FNR6045S,C168097
R330,"R1,R2",Capacitor_SMD:C_0402_1005Metric,C12246
R180k,"R3,R4,R7,R8,R18",Resistor_SMD:R_0402_1005Metric,C138046
R10M,"R5,R6,R9,R10,R15,R16",Resistor_SMD:R_0402_1005Metric,C138067
R1M4,R11,Resistor_SMD:R_0402_1005Metric,C270644
R1M,"R12,R13,R17",Resistor_SMD:R_0402_1005Metric,C138033
R100k,R14,Resistor_SMD:R_0402_1005Metric,C60491
R0,R19,Resistor_SMD:R_0402_1005Metric, C17168
R_Pack04,RN1,Resistor_SMD:R_Array_Concave_4x0603,C29719
SW_Push,"SW1,SW2",Button_Switch_SMD:SW_SPST_B3SL-1022P,C86708
ESP32-WROOM-32,U1,RF_Module:ESP32-WROOM-32, C82899
AD8232ACPZ-R7,U2,QFN50P400X400X100-21N,C43216
LM2594HVM-3.3,U4,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C18057294